id,authors,original_publication_year,title,mood_tag
5220,Anita Shreve,2002.0,Sea Glass,thoughtful
5221,Shannon Hale,2006.0,"River Secrets (The Books of Bayern, #3)",mysterious
5222,Jeffrey Archer,2014.0,"Be Careful What You Wish For (The Clifton Chronicles, #4)",thoughtful
5223,Amy A. Bartol,2013.0,"Inescapable (The Premonition, #1)",thoughtful
5224,Aprilynne Pike,2011.0,"Illusions (Wings, #3)",thoughtful
5225,Joe McGinniss,1983.0,Fatal Vision,thoughtful
5226,Sudhir Venkatesh,2008.0,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,thoughtful
5227,"Raymond E. Feist, Michael Avon Oeming, Bryan J.L. Glass, Ryan Stegman",1984.0,Magician: Apprentice  (Raymond E. Feist's Magician: Apprentice #1),magical
5228,John C. Maxwell,1993.0,Developing the Leader Within You,thoughtful
5229,C.S. Lewis,1945.0,"That Hideous Strength (Space Trilogy, #3)",thoughtful
5230,Laline Paull,2014.0,The Bees,thoughtful
5231,Sara Gruen,2010.0,Ape House,thoughtful
5232,"David Eddings, Leigh Eddings",1997.0,Polgara the Sorceress (Malloreon),thoughtful
5233,Kevin Kwan,2015.0,China Rich Girlfriend (Crazy Rich Asians #2),thoughtful
5234,Elizabeth George,1997.0,A Woman After God's Own Heart,romantic
5235,Brad Thor,2004.0,"State of the Union (Scot Harvath, #3)",thoughtful
5236,Ann Leary,2013.0,The Good House,thoughtful
5237,Rudolfo Anaya,1972.0,"Bless Me, Ultima",thoughtful
5238,Bret Easton Ellis,1998.0,Glamorama,thoughtful
5239,Sue Grafton,1988.0,"F is for Fugitive (Kinsey Millhone, #6)",thoughtful
5240,Jo NesbÃ¸,2005.0,"The Redeemer (Harry Hole, #6)",thoughtful
5241,Alessandro Baricco,1996.0,Silk,thoughtful
5242,Tatiana de Rosnay,2009.0,A Secret Kept,mysterious
5243,"Tim LaHaye, Jerry B. Jenkins",2002.0,"The Remnant (Left Behind, #10)",thoughtful
5244,"Italo Calvino, Archibald Colquhoun",1957.0,The Baron in the Trees,thoughtful
5245,"Stephenie Meyer, Young Kim",2011.0,"Twilight: The Graphic Novel, Vol. 2  (Twilight: The Graphic Novel, #2)",thoughtful
5246,Belle Aurora,2014.0,"Raw (RAW Family, #1)",poignant
5247,Roger Zelazny,1999.0,"The Great Book of Amber (The Chronicles of Amber, #1-10)",thoughtful
5248,Gena Showalter,2010.0,The Darkest Lie (Lords of the Underworld #6),thoughtful
5249,Andrzej Sapkowski,1995.0,"Czas pogardy (Saga o WiedÅºminie, #4)",thoughtful
5250,Jillian Dodd,2011.0,"That Boy (That Boy, #1)",thoughtful
5251,Kate Alcott,2012.0,The Dressmaker,thoughtful
5252,Judith McNaught,1991.0,"Paradise (Second Opportunities, #1)",thoughtful
5253,Chris Van Allsburg,1981.0,Jumanji,thoughtful
5254,Ken Grimwood,1986.0,Replay,thoughtful
5255,David Eagleman,2011.0,Incognito: The Secret Lives of the Brain,mysterious
5256,Neil deGrasse Tyson,2006.0,Death by Black Hole - And Other Cosmic Quandaries,poignant
5257,Margaret Atwood,1969.0,The Edible Woman,thoughtful
5258,Richard Dawkins,2004.0,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,thoughtful
5259,Marissa Meyer,2016.0,Heartless,romantic
5260,Paul Zindel,1968.0,"The Pigman (The Pigman, #1)",thoughtful
5261,Lincoln Child,2007.0,"Deep Storm (Jeremy Logan, #1)",thoughtful
5262,Meg Cabot,2011.0,"Abandon (Abandon, #1)",thoughtful
5263,Alexander McCall Smith,2003.0,"The Full Cupboard of Life (No. 1 Ladies' Detective Agency, #5)",mysterious
5264,Kerrelyn Sparks,2005.0,"How to Marry a Millionaire Vampire (Love at Stake, #1)",romantic
5265,Dr. Seuss,1968.0,The Foot Book: Dr. Seuss's Wacky Book of Opposites (Bright and Early Board Books),thoughtful
5266,Christina Lauren,2013.0,"Beautiful Bitch (Beautiful Bastard, #1.5)",thoughtful
5267,Robert Muchamore,2004.0,"The Recruit (Cherub, #1)",thoughtful
5268,Sarah Simblet,2001.0,Anatomy for the Artist,thoughtful
5269,Simon Singh,1997.0,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,adventurous
5270,Richard Paul Evans,1993.0,"The Christmas Box (The Christmas Box, #1)",thoughtful
5271,Amanda Hocking,2010.0,"My Blood Approves (My Blood Approves, #1)",dark
5272,Aurora Rose Reynolds,2013.0,"Until November (Until, #1)",nostalgic
5273,Angela Carter,1979.0,The Bloody Chamber and Other Stories,dark
5274,Anthony Bourdain,2001.0,A Cook's Tour: Global Adventures in Extreme Cuisines,adventurous
5275,Simon Schama,2006.0,The Power of Art,thoughtful
5276,"Michelle Knight, Michelle Burford",2014.0,"Finding Me: A Decade of Darkness, a Life Reclaimed - A Memoir of the Cleveland Kidnappings",dark
5277,Nora Roberts,1996.0,"Born in Shame (Born In Trilogy, #3)",thoughtful
5278,Simone Elkeles,2010.0,"Return to Paradise (Leaving Paradise, #2)",thoughtful
5279,Jasmine Warga,2015.0,My Heart and Other Black Holes,romantic
5280,Kim Gordon,2015.0,Girl in a Band,thoughtful
5281,Heather Brewer,2008.0,"Ninth Grade Slays (The Chronicles of Vladimir Tod, #2)",thoughtful
5282,Patricia Cornwell,2007.0,"Book of the Dead (Kay Scarpetta, #15)",thoughtful
5283,Joseph Campbell,1949.0,The Hero With a Thousand Faces,thoughtful
5284,John Sandford,2010.0,"Bad Blood (Virgil Flowers, #4)",dark
5285,"D.C. Talk, The Voice of the Martyrs",1997.0,"Jesus Freaks: Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks (Jesus Freaks, #1)",thoughtful
5286,Michael Pollan,2013.0,Cooked: A Natural History of Transformation,thoughtful
5287,Anne Bishop,1998.0,Daughter of the Blood (The Black Jewels #1),dark
5288,Orson Scott Card,2011.0,"The Lost Gate (Mither Mages, #1)",adventurous
5289,"Jo NesbÃ¸, Don Bartlett",2013.0,"Police (Harry Hole, #10)",thoughtful
5290,Anne Rice,1999.0,"Vittorio, The Vampire (New Tales of the Vampires, #2)",dark
5291,"Yuu Watase, Yuji Oniki",1992.0,"Fushigi YÃ»gi: The Mysterious Play, Vol. 1: Priestess",thoughtful
5292,Brunonia Barry,2006.0,"The Lace Reader (The Lace Reader, #1)",thoughtful
5293,"Faye Perozich, Travis Moore, Michael Halbleib, Daerick GrÃ¶ss, Anne Rice",2000.0,Anne Rice's The Tale of the Body Thief (A Graphic Novel),thoughtful
5294,Sherman Alexie,1993.0,The Lone Ranger and Tonto Fistfight in Heaven,tense
5295,Laurell K. Hamilton,2005.0,"A Stroke of Midnight (Merry Gentry, #4)",dark
5296,Stephenie Meyer,2016.0,The Chemist,thoughtful
5297,Anchee Min,2003.0,"Empress Orchid (Empress Orchid, #1)",thoughtful
5298,Eoin Colfer,2009.0,And Another Thing...,thoughtful
5299,Kathy Reichs,2004.0,"Monday Mourning (Temperance Brennan, #7)",thoughtful
5300,H.M. Ward,2013.0,"Damaged (Damaged, #1)",tense
5301,"George MacDonald, Arthur Hughes",1872.0,"The Princess and the Goblin  (Princess Irene and Curdie, #1)",thoughtful
5302,"Camilla LÃ¤ckberg, Steven T. Murray",2004.0,"The Preacher (Patrik HedstrÃ¶m, #2)",thoughtful
5303,Dr. Seuss,1974.0,There's a Wocket in My Pocket!,thoughtful
5304,Dean Koontz,1989.0,Midnight,dark
5305,Madeleine Wickham,1998.0,The Gatecrasher,thoughtful
5306,Neal Stephenson,2004.0,"The Confusion (The Baroque Cycle, #2)",thoughtful
5307,Terry Pratchett,2013.0,"Raising Steam (Discworld, #40, Moist von Lipwig #3 )",thoughtful
5308,Joelle Charbonneau,2014.0,"Independent Study (The Testing, #2)",thoughtful
5309,Sue Grafton,2015.0,"X (Kinsey Millhone, #24)",thoughtful
5310,"Roger Zelazny, SÃ¶nmez GÃ¼ven",1967.0,Lord of Light,thoughtful
5311,"Roald Dahl, Quentin Blake",1990.0,Esio Trot,thoughtful
5312,Mike Mignola,1998.0,"Hellboy, Vol. 3: The Chained Coffin and Others (Hellboy, #3)",thoughtful
5313,Scott B. Smith,1993.0,A Simple Plan,thoughtful
5314,"James Patterson, Michael Ledwidge",2009.0,"Run for Your Life (Michael Bennett, #2)",poignant
5315,"Joan Didion, David Thomson",1970.0,Play It as It Lays,thoughtful
5316,Kelley Armstrong,2004.0,"Dime Store Magic (Women of the Otherworld, #3)",magical
5317,Kim Stanley Robinson,1996.0,"Blue Mars (Mars Trilogy, #3)",thoughtful
5318,"Paulo Coelho, Alan R. Clarke",1988.0,The Valkyries,thoughtful
5319,Louise Penny,2014.0,"The Long Way Home (Chief Inspector Armand Gamache, #10)",thoughtful
5320,A.S. King,2010.0,Please Ignore Vera Dietz,thoughtful
5321,"Joseph Delaney, Patrick  Arrasmith",2005.0,"Curse of the Bane (The Last Apprentice / Wardstone Chronicles, #2)",tense
5322,L.J. Smith,1991.0,"The Struggle (The Vampire Diaries, #2)",dark
5323,Karen Marie Moning,2002.0,"The Dark Highlander (Highlander, #5)",thoughtful
5324,Karen Marie Moning,2004.0,"The Immortal Highlander (Highlander, #6)",thoughtful
5325,Reza Aslan,2005.0,"No god but God: The Origins, Evolution and Future of Islam",thoughtful
5326,Philip K. Dick,1981.0,"VALIS (VALIS Trilogy, #1)",thoughtful
5327,"Simone de Beauvoir, H.M. Parshley, Deirdre Bair",1949.0,The Second Sex,thoughtful
5328,Jennifer A. Nielsen,2013.0,"The Runaway King (The Ascendance Trilogy, #2)",thoughtful
5329,"Margaret Weis, Tracy Hickman",1990.0,"Dragon Wing (The Death Gate Cycle, #1)",adventurous
5330,Kurt Vonnegut Jr.,1979.0,Jailbird,thoughtful
5331,"Brian K. Vaughan, Pia Guerra, Goran SudÅ¾uka, JosÃ© MarzÃ¡n Jr.",2007.0,"Y: The Last Man, Vol. 9: Motherland (Y: The Last Man, #9)",poignant
5332,Dan Simmons,2003.0,"Ilium (Ilium, #1)",thoughtful
5333,"Noelle Stevenson, Grace Ellis, Shannon Waters, Shannon Watters, Brooke A. Allen, Faith Hicks, Kat Leyh, Brooke Allen, Carolyn Nowak, Various, Carey Pietsch",2015.0,"Lumberjanes, Vol. 1: Beware the Kitten Holy",tense
5334,Elaine N. Aron,1996.0,The Highly Sensitive Person: How to Thrive When the World Overwhelms You,thoughtful
5335,Chitra Banerjee Divakaruni,2008.0,The Palace of Illusions,thoughtful
5336,H.W. Brands,2000.0,The First American: The Life and Times of Benjamin Franklin,poignant
5337,"Douglas Preston, Lincoln Child",2005.0,"Dance of Death (Pendergast, #6; Diogenes, #2)",poignant
5338,Susan Beth Pfeffer,2010.0,"This World We Live In (Last Survivors, #3)",thoughtful
5339,"Yoshihiro Togashi, å†¨æ¨« ç¾©åš",1998.0,"Hunter x Hunter, Vol. 01 (Hunter x Hunter, #1)",thoughtful
5340,J.D. Robb,1997.0,"Vengeance in Death (In Death, #6)",poignant
5341,Connie Willis,1998.0,"To Say Nothing of the Dog (Oxford Time Travel, #2)",thoughtful
5342,"James Patterson, Ned Rust",2010.0,"The Gift (Witch & Wizard, #2)",magical
5343,Michael Crichton,1972.0,The Terminal Man,thoughtful
5344,"Daniel Abraham, George R.R. Martin, Tommy Patterson",2011.0,"A Game of Thrones: Comic Book, Issue 1",thoughtful
5345,Holly Black,2010.0,"White Cat (Curse Workers, #1)",thoughtful
5346,Raymond Carver,1988.0,Where I'm Calling From: New and Selected Stories,thoughtful
5347,Jasper Fforde,2004.0,"Something Rotten (Thursday Next, #4)",thoughtful
5348,Jean M. Auel,2011.0,"The Land of Painted Caves (Earth's Children, #6)",thoughtful
5349,Lucy Grealy,1994.0,Autobiography of a Face,thoughtful
5350,Lauren Oliver,2015.0,Vanishing Girls,thoughtful
5351,Walt Disney Company,1812.0,Snow White and the Seven Dwarfs (Little Golden Book),tense
5352,"Angie Sage, Mark Zug",2011.0,"Darke (Septimus Heap, #6)",thoughtful
5353,Jeff Kinney,2010.0,The Wimpy Kid Movie Diary (Diary of a Wimpy Kid),poignant
5354,Dashiell Hammett,1934.0,The Thin Man,thoughtful
5355,Candace Bushnell,2003.0,Trading Up,thoughtful
5356,David Brin,1987.0,"The Uplift War (The Uplift Saga, #3)",tense
5357,Raymond E. Feist,1997.0,"Rage of a Demon King (The Serpentwar Saga, #3)",tense
5358,"Kingsley Amis, David Lodge",1954.0,Lucky Jim,thoughtful
5359,Karin Slaughter,2003.0,"A Faint Cold Fear (Grant County, #3)",dark
5360,Marie Lu,2015.0,"The Rose Society (The Young Elites, #2)",thoughtful
5361,Kristin Hannah,2000.0,Angel Falls,thoughtful
5362,Susane Colasanti,2009.0,Waiting For You,thoughtful
5363,Jeff Hobbs,2014.0,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,tense
5364,Li Cunxin,2003.0,Mao's Last Dancer,thoughtful
5365,Lisa Gardner,2009.0,"The Neighbor (Detective D.D. Warren, #3)",mysterious
5366,"Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.",2008.0,"Y: The Last Man, Vol. 10: Whys and Wherefores (Y: The Last Man, #10)",thoughtful
5367,Greg Bear,1984.0,"Eon (The Way, #1)",thoughtful
5368,Helen Simonson,2016.0,The Summer Before the War,tense
5369,"C.G. Jung, Aniela JaffÃ©, Richard Winston, Clara Winston",1961.0,"Memories, Dreams, Reflections",nostalgic
5370,Laurell K. Hamilton,2010.0,"Bullet (Anita Blake, Vampire Hunter #19)",dark
5371,Diana Gabaldon,2011.0,"The Scottish Prisoner (Lord John Grey, #3)",thoughtful
5372,Meg Cabot,2001.0,"Reunion (The Mediator, #3)",thoughtful
5373,ÙŠØ§Ø³Ø± Ø­Ø§Ø±Ø¨,2011.0,Ø¨ÙŠÙƒØ§Ø³Ùˆ ÙˆØ³ØªØ§Ø±Ø¨ÙƒØ³,thoughtful
5374,"Milan Kundera, Suzanne Rappaport",1970.0,Laughable Loves,romantic
5375,Julia Quinn,2007.0,"The Secret Diaries of Miss Miranda Cheever (Bevelstoke, #1)",mysterious
5376,Founding Fathers,1787.0,The Constitution of the United States of America,poignant
5377,Gilles NÃ©ret,1992.0,Gustav Klimt: 1862-1918,thoughtful
5378,Malcolm Lowry,1947.0,Under the Volcano,thoughtful
5379,Rachel Abbott,2014.0,Sleep Tight,thoughtful
5380,"Mary Pope Osborne, Salvatore Murdocca",2002.0,"Dinosaurs Before Dark (Magic Tree House, #1)",magical
5381,Robert A. Heinlein,1958.0,Have Space Suitâ€”Will Travel,thoughtful
5382,Jack London,1904.0,The Sea Wolf,thoughtful
5383,Meg Cabot,2001.0,"Darkest Hour (The Mediator, #4)",thoughtful
5384,Kate Beaton,2011.0,Hark! A Vagrant,thoughtful
5385,Ann Packer,2002.0,The Dive From Clausen's Pier,thoughtful
5386,"Thomas Mann, Michael Henry Heim, Michael Cunningham",1912.0,Death in Venice,poignant
5387,"Sogyal Rinpoche, Andrew Harvey",1992.0,The Tibetan Book of Living and Dying,thoughtful
5388,Orson Scott Card,1999.0,Enchantment,magical
5389,Edgar Allan Poe,1839.0,The Fall of the House of Usher,thoughtful
5390,D.J. MacHale,2009.0,"The Soldiers of Halla (Pendragon, #10)",adventurous
5391,E. Lockhart,2005.0,"The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)",thoughtful
5392,Pat Barker,1991.0,"Regeneration (Regeneration, #1)",thoughtful
5393,Veronica Roth,2014.0,"The Initiate (Divergent, #0.2)",thoughtful
5394,Michael J. Fox,2002.0,Lucky Man,thoughtful
5395,Margaret Atwood,2005.0,The Penelopiad,thoughtful
5396,"John Joseph Adams, Robert J. Sawyer, Stephen King, Michael Moorcock, Sharyn McCrumb, Stephen Baxter, Anne Perry, Barbara Hambly, Tanith Lee, Neil Gaiman, Rob Rogers, Naomi Novik, Anthony Burgess, Dominic Green, Laurie R. King, Barbara Roden, Peter Tremayne, Tim Lebbon, Bradley H. Sinor, Edward D. Hoch, Vonda N. McIntyre, Darrell Schweitzer, Mary Robinette Kowal, H.Paul Jeffers, Geoffrey A. Landis, Amy Myers, Tony Pi, Chris Roberson, Mark Valentine",2007.0,The Improbable Adventures of Sherlock Holmes,adventurous
5397,Gigi Levangie Grazer,2005.0,The Starter Wife,thoughtful
5398,"Bill Willingham, Mark Buckingham, Steve Leialoha, James Jean",2003.0,"Fables, Vol. 2: Animal Farm",thoughtful
5399,"James     Baldwin, KÄ±vanÃ§ GÃ¼ney",1963.0,The Fire Next Time,thoughtful
5400,Mo Willems,2006.0,Don't Let the Pigeon Stay Up Late!,thoughtful
5401,"Grant Morrison, Frank Quitely",2005.0,We3,thoughtful
5402,Meg Cabot,2003.0,"Princess in Pink (The Princess Diaries, #5)",thoughtful
5403,Ellen Schreiber,2008.0,"The Coffin Club (Vampire Kisses, #5)",romantic
5404,Sinclair Lewis,1920.0,Main Street,thoughtful
5405,"Rick Riordan, John Rocco",2014.0,Percy Jackson's Greek Gods (A Percy Jackson and the Olympians Guide),thoughtful
5406,Catherine Gilbert Murdock,2006.0,"Dairy Queen (Dairy Queen, #1)",thoughtful
5407,Michael Chabon,2012.0,Telegraph Avenue,thoughtful
5408,Karin Slaughter,2009.0,"Undone (Will Trent, #3)",thoughtful
5409,Erika Swyler,2015.0,The Book of Speculation,thoughtful
5410,Laurell K. Hamilton,2009.0,"Flirt (Anita Blake, Vampire Hunter #18)",dark
5411,Nora Roberts,1998.0,"Inner Harbor (Chesapeake Bay Saga, #3)",thoughtful
5412,Christopher Moore,2010.0,"Bite Me (A Love Story, #3)",romantic
5413,Frederick Franck,1973.0,Zen of Seeing: Seeing/Drawing as Meditation,thoughtful
5414,Kristen Britain,1998.0,"Green Rider (Green Rider, #1)",thoughtful
5415,Anne McCaffrey,1968.0,"The Dragonriders of Pern (Dragonriders of Pern, #1-3)",adventurous
5416,Helen Oyeyemi,2013.0,"Boy, Snow, Bird",thoughtful
5417,Sue Grafton,1988.0,"E is for Evidence (Kinsey Millhone, #5)",thoughtful
5418,David  Brooks,2011.0,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",romantic
5419,Ian McEwan,2010.0,Solar,thoughtful
5420,Thomas S. Kuhn,1962.0,The Structure of Scientific Revolutions,thoughtful
5421,Andrea Levy,2004.0,Small Island,adventurous
5422,Louise Penny,2016.0,"A Great Reckoning (Chief Inspector Armand Gamache, #12)",thoughtful
5423,Sidney Sheldon,2000.0,The Sky is Falling,thoughtful
5424,Peter M. Senge,1990.0,The Fifth Discipline: The Art & Practice of The Learning Organization,thoughtful
5425,"Arthur Koestler, Daphne Hardy",1940.0,Darkness at Noon,thoughtful
5426,Jaci Burton,2011.0,"The Perfect Play (Play by Play, #1)",thoughtful
5427,Jane Green,1997.0,Straight Talking,thoughtful
5428,Jack Campbell,2006.0,"Dauntless (The Lost Fleet, #1)",adventurous
5429,Lois McMaster Bujold,2000.0,"The Curse of Chalion (World of the Five Gods, #1)",nostalgic
5430,Elizabeth Flock,2005.0,Me & Emma,thoughtful
5431,Nora Roberts,2002.0,"Chesapeake Blue (Chesapeake Bay Saga, #4)",thoughtful
5432,Malinda Lo,2009.0,Ash,thoughtful
5433,Bernard Cornwell,2009.0,"The Burning Land (The Saxon Stories, #5)",thoughtful
5434,Megan McCafferty,2003.0,"Second Helpings (Jessica Darling, #2)",thoughtful
5435,"Diane Arbus, Stan Grossfeld, Doon Arbus, Marvin Israel",1972.0,Diane Arbus: Monograph,thoughtful
5436,Carolyn Mackler,2003.0,"The Earth, My Butt, and Other Big Round Things",thoughtful
5437,Joseph Conrad,1900.0,Lord Jim,thoughtful
5438,Leo Lionni,1975.0,A Color of His Own,thoughtful
5439,Neil Gaiman,1987.0,Don't Panic: The Official Hitchhiker's Guide to the Galaxy Companion,thoughtful
5440,Andrew Clements,2002.0,"Things Not Seen (Things, #1)",thoughtful
5441,"Frank E. Peretti, Ted Dekker",2006.0,House,thoughtful
5442,"V.E. Schwab, Victoria Schwab",2013.0,"Vicious (Villains, #1)",thoughtful
5443,Clive Cussler,1976.0,"Raise the Titanic! (Dirk Pitt, #4)",thoughtful
5444,Eoin Colfer,2004.0,The Supernaturalist,thoughtful
5445,Meg Cabot,2007.0,"Queen of Babble in the Big City (Queen of Babble, #2)",thoughtful
5446,Dr. Seuss,1958.0,Yertle the Turtle and Other Stories,thoughtful
5447,Camron Wright,2012.0,The Rent Collector,thoughtful
5448,Rohinton Mistry,2001.0,Family Matters,poignant
5449,Harvey Karp,2002.0,The Happiest Baby on the Block: The New Way to Calm Crying and Help Your Newborn Baby Sleep Longer,thoughtful
5450,"Penelope Douglas, Nelson Hobbs",2013.0,"Until You (Fall Away, #1.5)",thoughtful
5451,Dee Lestari,2004.0,Perahu Kertas,thoughtful
5452,Gordon Korman,2000.0,Schooled,thoughtful
5453,"Dallas Hartwig, Melissa Hartwig",2012.0,It Starts with Food: Discover the Whole30 and Change Your Life in Unexpected Ways,poignant
5454,Ted Kerasote,2007.0,Merle's Door: Lessons from a Freethinking Dog,thoughtful
5455,Gary Paulsen,1996.0,"Brian's Winter (Brian's Saga, #3)",thoughtful
5456,Julia Alvarez,1991.0,How the GarcÃ­a Girls Lost Their Accents ,adventurous
5457,"J. Lynn, Jennifer L. Armentrout",2014.0,"Be with Me (Wait for You, #2)",thoughtful
5458,Louisa May Alcott,1886.0,"Jo's Boys (Little Women, #3)",thoughtful
5459,Harlan Coben,2016.0,Home (Myron Bolitar #11),thoughtful
5460,Charles Bukowski,1969.0,Notes of a Dirty Old Man,nostalgic
5461,"Jussi Adler-Olsen, K.E. Semmel",2008.0,"The Absent One (Department Q, #2)",thoughtful
5462,James McBride,2013.0,The Good Lord Bird,romantic
5463,Susan Cooper,1974.0,"Greenwitch (The Dark Is Rising, #3)",magical
5464,"Robert Kirkman, Charlie Adlard, Cliff Rathburn",2006.0,"The Walking Dead, Vol. 05: The Best Defense",thoughtful
5465,Elizabeth Chandler,1995.0,"Kissed by an Angel/The Power of Love/Soulmates (Kissed by an Angel, #1-3)",romantic
5466,Abbi Glines,2014.0,"Take a Chance (Rosemary Beach, #7; Chance, #1)",thoughtful
5467,Daniel Silva,2011.0,"Portrait of a Spy (Gabriel Allon, #11)",thoughtful
5468,Kate Atkinson,2006.0,"One Good Turn (Jackson Brodie, #2)",thoughtful
5469,Clive Barker,2002.0,"Abarat (Abarat, #1)",thoughtful
5470,Arthur C. Clarke,1987.0,"2061: Odyssey Three (Space Odyssey, #3)",thoughtful
5471,"Marshall Goldsmith, Mark Reiter",2007.0,What Got You Here Won't Get You There: How Successful People Become Even More Successful,nostalgic
5472,Richard Paul Evans,2010.0,"The Walk (The Walk, #1)",thoughtful
5473,Claudia Gray,2011.0,"Afterlife (Evernight, #4)",dark
5474,Nick Hornby,2007.0,Slam,thoughtful
5475,Robin LaFevers,2013.0,"Dark Triumph (His Fair Assassin, #2)",tense
5476,Kwame Alexander,2014.0,The Crossover,thoughtful
5477,Andrea Hirata,2007.0,"Edensor (Tetralogi Laskar Pelangi, #3)",thoughtful
5478,Alan Hollinghurst,2004.0,The Line of Beauty,thoughtful
5479,Susanna Kearsley,2011.0,The Rose Garden,thoughtful
5480,Frank E. Peretti,2005.0,Monster,thoughtful
5481,Daniel Silva,2002.0,"The English Assassin (Gabriel Allon, #2)",tense
5482,Chuck Klosterman,2006.0,Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,adventurous
5483,Peter F. Drucker,1966.0,The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials),thoughtful
5484,"Kieron Gillen, Jamie McKelvie, Matt Wilson, Clayton Cowles",2014.0,"The Wicked + The Divine, Vol. 1: The Faust Act",thoughtful
5485,Dean Koontz,2013.0,Innocence,thoughtful
5486,John Sandford,2004.0,"Dark of the Moon (Virgil Flowers, #1)",thoughtful
5487,"Esther Hicks, Jerry Hicks",2006.0,The Law of Attraction: The Basics of the Teachings of Abraham,thoughtful
5488,Alexandra Bracken,2014.0,"In The Afterlight (The Darkest Minds, #3)",thoughtful
5489,Aimee Carter,2012.0,"Goddess Interrupted (Goddess Test, #2)",thoughtful
5490,"Holly Black, Tony DiTerlizzi",2003.0,"Lucinda's Secret (The Spiderwick Chronicles, #3)",mysterious
5491,"Beverly Cleary, Tracy Dockray",1950.0,"Henry Huggins (Henry Huggins, #1)",thoughtful
5492,"Russell Hoban, Garth Williams",1960.0,Bedtime for Frances,thoughtful
5493,"Tetsuko Kuroyanagi, Chihiro Iwasaki, Dorothy Britton",1981.0,Totto-chan: The Little Girl at the Window,thoughtful
5494,Joe Abercrombie,2015.0,"Half the World (Shattered Sea, #2)",thoughtful
5495,Roger Lowenstein,2000.0,When Genius Failed: The Rise and Fall of Long-Term Capital Management,thoughtful
5496,Natalie Goldberg,1986.0,Writing Down the Bones: Freeing the Writer Within,nostalgic
5497,Darren Shan,2002.0,"Hunters of the Dusk (Cirque Du Freak, #7)",thoughtful
5498,Tad Williams,1996.0,"City of Golden Shadow (Otherland, #1)",dark
5499,Charlaine Harris,2007.0,"An Ice Cold Grave (Harper Connelly, #3)",dark
5500,Katherine Paterson,1980.0,Jacob Have I Loved,romantic
5501,"James Patterson, Liza Marklund",2010.0,The Postcard Killers,thoughtful
5502,"Julietta Suzuki, Tomo Kimura",2008.0,"Kamisama Kiss, Vol. 1",romantic
5503,Colleen Hoover,2014.0,"Maybe Not (Maybe, #1.5)",thoughtful
5504,D.J. MacHale,2004.0,"Black Water (Pendragon, #5)",adventurous
5505,Agatha Christie,1942.0,"Five Little Pigs (Hercule Poirot, #24)",mysterious
5506,China MiÃ©ville,2011.0,Embassytown,thoughtful
5507,Dean Koontz,2002.0,By the Light of the Moon,thoughtful
5508,Arthur Conan Doyle,1927.0,"Sherlock Holmes: The Complete Novels and Stories, Volume I",mysterious
5509,Dorothy L. Sayers,1930.0,"Strong Poison (Lord Peter Wimsey, #6)",thoughtful
5510,Gary Larson,1984.0,The Far Side Gallery,thoughtful
5511,Julie Kagawa,2013.0,"The Eternity Cure (Blood of Eden, #2)",dark
5512,J.D. Robb,1998.0,"Holiday in Death (In Death, #7)",poignant
5513,Tarryn Fisher,2013.0,"Thief (Love Me with Lies, #3)",romantic
5514,Aron Ralston,2004.0,Between a Rock and a Hard Place,thoughtful
5515,David Gemmell,1984.0,"Legend (The Drenai Saga, #1)",thoughtful
5516,Sheila Turnage,2012.0,"Three Times Lucky (Tupelo Landing, #1)",thoughtful
5517,Meg Cabot,2004.0,"Every Boy's Got One (Boy, #3)",thoughtful
5518,Ann Rule,1987.0,Small Sacrifices: A True Story of Passion and Murder,romantic
5519,Chris Bohjalian,2016.0,The Guest Room,thoughtful
5520,"Avery Monsen, Jory John",2010.0,All My Friends Are Dead,thoughtful
5521,Matthew Reilly,2007.0,"The Six Sacred Stones (Jack West Jr, #2)",thoughtful
5522,Nora Roberts,1998.0,"Rising Tides (Chesapeake Bay Saga, #2)",thoughtful
5523,Tite Kubo,2004.0,"Bleach, Volume 15",thoughtful
5524,"Johnny Cash, Patrick   Carr",1997.0,Cash,thoughtful
5525,Sidney Sheldon,1976.0,A Stranger In The Mirror,thoughtful
5526,Carl Hiaasen,2005.0,Flush,thoughtful
5527,"Isak Dinesen, Karen Blixen",1937.0,Out of Africa,thoughtful
5528,Robert Crais,2007.0,"The Watchman (Elvis Cole, #11; Joe Pike, #1)",thoughtful
5529,Nassim Nicholas Taleb,2012.0,Antifragile: Things That Gain from Disorder,thoughtful
5530,Molly McAdams,2012.0,"From Ashes (From Ashes, #1)",thoughtful
5531,Sam Harris,2012.0,Free Will,thoughtful
5532,Marieke Nijkamp,2016.0,This Is Where It Ends,thoughtful
